Product_title, variant_sku, product_id, variant_id, variant_title, variant_price, variant_inventory_quantity, handle, published_scope, product_type, tags
Bad Sku:  has 2 duplicates,,,,,,,,,,
,,,,,,,,,,
Cycle House Water Bottle,745934123486,4439880204406,31497379872886, CLEAR / BLACK / ONE,10,372, m010404, web, Accessories, cf-color-clear-black  cf-size-one  CHWBGWP  color-clear-black  size-one  under-20
Cycle House Water Bottle GWP,745934123486,4520761622646,31825937399926, CLEAR / BLACK / ONE,0,370, gwp-ch-water-bottle, web, Accessories, cf-color-clear-black  cf-size-one  CHWBGWP  color-clear-black  size-one  under-20
Bad Sku: 745934123486 has 2 duplicates,,,,,,,,,,
,,,,,,,,,,
Bad Sku:  has 2 duplicates,,,,,,,,,,
,,,,,,,,,,
Multi-Loop Resistance Band,764204416226,4415856476278,31439063416950, PINK / ONE,9.99,2, m192602, web, Accessories, 3FOR2499ACC  cf-color-pink  cf-size-one  color-pink  size-one  under-20
Multi-Loop Resistance Band - GWP,764204416226,4422879936630,31457744846966, PINK / ONE,0,2, multi-loop-resistance-band-gwp, web, Accessories, cf-color-pink  cf-size-one  color-pink  size-one  under-20
Bad Sku: 764204416226 has 2 duplicates,,,,,,,,,,